,Generated Power / MWh,Efficiency / kWh/kW,Exported ,FIT Credit,Low / kWh,High / kWh,Average / kWh,Comments
01/01/2022 00:00:00,95.348,3.043,-,"€0,00",288.075,"4,854.04","3,075.74",
01/02/2022 00:00:00,95.689,3.381,-,"€0,00",305.602,"5,912.27","3,417.46",
01/03/2022 00:00:00,137.892,4.4,-,"€0,00",457.054,"6,735.36","4,448.14",
01/04/2022 00:00:00,159.08,5.246,-,"€0,00",631.885,"7,039.38","5,302.66",
01/05/2022 00:00:00,184.458,5.886,-,"€0,00","2,289.32","7,079.09","5,950.26",
01/06/2022 00:00:00,150.828,4.974,-,"€0,00",0,"6,803.10","5,027.61",
01/07/2022 00:00:00,192.372,6.139,-,"€0,00","1,749.39","6,743.55","6,205.54",
01/08/2022 00:00:00,167.795,5.355,-,"€0,00","2,981.20","6,482.89","5,412.75",
01/09/2022 00:00:00,159.904,5.273,-,"€0,00","1,697.02","6,315.56","5,330.13",
01/10/2022 00:00:00,144.383,4.607,-,"€0,00",902.659,"5,952.47","4,657.51",
01/11/2022 00:00:00,77.728,2.563,-,"€0,00",309.282,"4,515.50","2,590.92",
01/12/2022 00:00:00,60.519,1.931,-,"€0,00",164.245,"3,866.27","1,952.22",
01/01/2021 00:00:00,80.608,2.572,-,"€0,00",17.222,"5,029.01","2,600.26",
01/02/2021 00:00:00,106.485,3.901,-,"€0,00",491.085,"5,701.89","3,943.89",Partial Month (27 days)
01/03/2021 00:00:00,132.772,4.237,-,"€0,00",746.282,"6,747.42","4,282.96",
01/04/2021 00:00:00,148.831,4.908,-,"€0,00",933.587,"6,975.79","4,961.03",
01/05/2021 00:00:00,177.705,5.671,-,"€0,00","2,881.90","7,053.56","5,732.42",
01/06/2021 00:00:00,173.893,5.734,-,"€0,00","3,789.21","7,091.97","5,796.44",
01/07/2021 00:00:00,182.262,5.816,-,"€0,00","2,251.74","6,632.36","5,879.41",
01/08/2021 00:00:00,174.046,5.554,-,"€0,00","2,521.77","6,398.88","5,614.38",
01/09/2021 00:00:00,142.971,4.714,-,"€0,00","1,509.04","6,329.06","4,765.72",
01/10/2021 00:00:00,107.088,3.417,-,"€0,00",73.842,"5,978.94","3,454.44",
01/11/2021 00:00:00,73.358,2.419,-,"€0,00",0,"4,573.96","2,445.28",
01/12/2021 00:00:00,73.004,2.33,-,"€0,00",177.804,"4,130.09","2,354.97",
15ms,,,,,,,,